case_id,case_title,case_citation,parallel_cite,filed_date,not_rule36,number_of_patents,note,patent1,patent1_cpc,patent1_find_error,patent1_reverse,patent2,patent2_cpc,patent2_find_error,patent2_reverse,patent3,patent3_cpc,patent3_find_error,patent3_reverse,patent4,patent4_cpc,patent4_find_error,patent4_reverse,patent5,patent5_cpc,patent5_find_error,patent5_reverse,patent6,patent6_cpc,patent6_find_error,patent6_reverse,patent7,patent7_cpc,patent7_find_error,patent7_reverse
567,"Apple Computer, Inc. v. Articulate Systems, Inc.",234 F.3d 14,57 U.S.P.Q.2d 1057,7/12/2000,1,1,,5469540,G06F3/04895,1,1,,,,,,,,,,,,,,,,,,,,,,,,
570,Byrne v. Black & Decker Corp.,235 Fed.Appx. 741,2007 WL 1492101,21/5/2007,1,1,,RE34815,,1,0,,,,,,,,,,,,,,,,,,,,,,,,
572,"Globetrotter Software, Inc. v. Elan Computer Group, Inc.",236 F.3d 1363,57 U.S.P.Q.2d 1542,18/1/2001,1,1,,5390297,G06F21/105,0,0,,,,,,,,,,,,,,,,,,,,,,,,
573,Union Pacific Resources Co. v. Chesapeake Energy Corp.,236 F.3d 684,57 U.S.P.Q.2d 1293,5/1/2001,1,1,,5311951,E21B7/04,0,0,,,,,,,,,,,,,,,,,,,,,,,,
575,"Automed Technologies, Inc. v. Knapp Logistics & Automation, Inc.",236 Fed.Appx. 604,2007 WL 1577971,31/5/2007,1,1,,RE37829,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
576,Purdue Pharma L.P. v. Boehringer Ingelheim GMBH,237 F.3d 1359,57 U.S.P.Q.2d 1647,1/2/2001,1,3,,5508042,A61K9/2013,0,0,5549912,A61K9/2013,0,0,5656295,A61K9/2013,0,0,,,,,,,,,,,,,,,,
580,MicroStrategy Inc. v. Business Objects Americas,238 Fed.Appx. 605,2007 WL 1842701,25/6/2007,1,1,,6279033,G06F16/9574,0,0,,,,,,,,,,,,,,,,,,,,,,,,
581,"Wenger Mfg., Inc. v. Coating Machinery Systems, Inc.",239 F.3d 1225,57 U.S.P.Q.2d 1679,6/2/2001,1,1,,5100683,A23P20/18,1,1,,,,,,,,,,,,,,,,,,,,,,,,
582,"AFG Industries, Inc. v. Cardinal IG Co., Inc.",239 F.3d 1239,57 U.S.P.Q.2d 1776,6/2/2001,1,1,,4859532,C03C17/3613,1,1,,,,,,,,,,,,,,,,,,,,,,,,
584,"Biovail Corp. Intern. v. Andrx Pharmaceuticals, Inc.",239 F.3d 1297,57 U.S.P.Q.2d 1813,13/2/2001,1,1,,5529791,A61K9/5026,0,0,,,,,,,,,,,,,,,,,,,,,,,,
585,"Forest Laboratories, Inc. v. Abbott Laboratories",239 F.3d 1305,57 U.S.P.Q.2d 1794,13/2/2001,1,2,,4338301,A61K38/1709,1,0,4397839,A61K35/42,1,0,,,,,,,,,,,,,,,,,,,,
586,"DeMarini Sports, Inc. v. Worth, Inc.",239 F.3d 1314,57 U.S.P.Q.2d 1889,13/2/2001,1,1,,5415398,A63B59/51,0,0,,,,,,,,,,,,,,,,,,,,,,,,
587,"Amazon.com, Inc. v. Barnesandnoble.com, Inc.",239 F.3d 1343,57 U.S.P.Q.2d 1747,14/2/2001,1,1,,5960411,G06Q30/0635,0,0,,,,,,,,,,,,,,,,,,,,,,,,
588,"NMT Medical, Inc. v. Cardia, Inc.",239 Fed.Appx. 593,2007 WL 1655232,6/6/2007,1,1,,5451235,A61B17/0057,1,1,,,,,,,,,,,,,,,,,,,,,,,,
593,"SciMed Life Systems, Inc. v. Advanced Cardiovascular Systems, Inc.",242 F.3d 1337,58 U.S.P.Q.2d 1059,14/3/2001,1,3,,5156594,A61M25/104,0,0,5217482,A61M25/104,0,0,5395334,A61M25/104,0,0,,,,,,,,,,,,,,,,
594,"Netword, LLC v. Centraal Corp.",242 F.3d 1347,58 U.S.P.Q.2d 1076,14/3/2001,1,1,Judge Clevenger dissents regarding claim construction,5764906,H04L61/30,0,0,,,,,,,,,,,,,,,,,,,,,,,,
595,Karsten Mfg. Corp. v. Cleveland Golf Co.,242 F.3d 1376,58 U.S.P.Q.2d 1286,22/3/2001,1,3,,4621813,A63B53/04,0,0,5193805,A63B53/04,0,0,5297803,A63B53/04,1,1,,,,,,,,,,,,,,,,
596,Mycogen Plant Science v. Monsanto Co.,243 F.3d 1316,58 U.S.P.Q.2d 1030,12/3/2001,1,2,,5567600,C12N15/8216,0,0,5567862,C07K14/325,0,0,,,,,,,,,,,,,,,,,,,,
598,"Eisenberg v. Alimed, Inc.",243 F.3d 555,2000 WL 1119743,8/8/2000,1,1,DC failed to construct,4445507,A41D19/01588,1,1,,,,,,,,,,,,,,,,,,,,,,,,
599,"Messagephone, Inc. v. SVI Systems, Inc.",243 F.3d 556,2000 WL 1141046,11/8/2000,1,1,,5475740,H04M3/493,1,1,,,,,,,,,,,,,,,,,,,,,,,,
600,"Reiker Enterprises, Inc. v. Fan Brace, Inc.",243 F.3d 557,2000 WL 1160818,16/8/2000,1,1,,4463923,E04B9/006,0,0,,,,,,,,,,,,,,,,,,,,,,,,
601,"Space Systems/Loral, Inc. v. Lockheed Martin Corp.",243 F.3d 558,2000 WL 1205154,23/8/2000,1,2,,4767084,B64G1/285,0,0,5100084,B64G1/38,0,0,,,,,,,,,,,,,,,,,,,,
602,Iscar Ltd. v. Sandvik AB,243 F.3d 558,2000 WL 1225457,25/8/2000,1,1,,5421679,B23C5/202,1,1,,,,,,,,,,,,,,,,,,,,,,,,
603,"Brita Wasser-Filter-Systeme v. Recovery Engineering, Inc.",243 F.3d 560,2000 WL 1375170,21/9/2000,1,1,,4969996,B01D36/001,0,0,,,,,,,,,,,,,,,,,,,,,,,,
604,"Heidelberg Harris, Inc. v. Mitsubishi Heavy Industries, Ltd.",243 F.3d 560,56 U.S.P.Q.2d 1714,18/9/2000,1,2,,5429048,B41N10/04,1,1,5440981,B41N6/00,0,0,,,,,,,,,,,,,,,,,,,,
609,Zi Corp. of Canada Inc. v. Tegic Communications Inc.,243 F.3d 564,2000 WL 1586310,24/10/2000,1,1,,5109352,G09G5/246,1,1,,,,,,,,,,,,,,,,,,,,,,,,
610,"Dunhall Pharmaceuticals, Inc. v. Discus Dental, Inc.",243 F.3d 564,2000 WL 1608803,26/10/2000,1,1,,RE34196,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
611,"Doyle v. Crain Industries, Inc.",243 F.3d 564,2000 WL 1608826,25/10/2000,1,1,,5120770,C08J9/127,0,0,,,,,,,,,,,,,,,,,,,,,,,,
614,"Alcide Corp. v. ABS Global, Inc.",243 F.3d 567,2000 WL 1737824,22/11/2000,1,1,,4330531,A61K8/20,0,0,,,,,,,,,,,,,,,,,,,,,,,,
615,"Cybersettle, Inc. v. National Arbitration Forum, Inc.",243 Fed.Appx. 603,2007 WL 2112784,24/7/2007,1,1,,6330551,G06Q10/10,1,1,,,,,,,,,,,,,,,,,,,,,,,,
619,"Mentor H/S, Inc. v. Medical Device Alliance, Inc.",244 F.3d 1365,58 U.S.P.Q.2d 1321,9/4/2001,1,1,,4886491,A61B17/22012,0,0,,,,,,,,,,,,,,,,,,,,,,,,
621,"Automed Technologies, Inc. v. Microfil, LLC",244 Fed.Appx. 354,2007 WL 2045697,16/7/2007,1,2,Judge Mayer dissents regarding claim construction of '927 patent,6449927,G07F11/44,0,0,6742671,G07F11/44,0,0,,,,,,,,,,,,,,,,,,,,
624,"Hallco Mfg. Co., Inc. v. Foster",245 F.3d 1369,58 U.S.P.Q.2d 1417,9/4/2001,1,1,,RE35022,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
625,"Crystal Semiconductor Corp. v. TriTech Microelectronics Intern., Inc.",246 F.3d 1336,57 U.S.P.Q.2d 1953,7/3/2001,1,3,,4746899,H03M3/324,0,0,4851841,H03M3/488,0,0,5220483,H01L27/0805,0,0,,,,,,,,,,,,,,,,
626,"Bristol-Myers Squibb Co. v. Ben Venue Laboratories, Inc.",246 F.3d 1368,58 U.S.P.Q.2d 1508,20/4/2001,1,2,,5641803,A61K45/06,0,0,5670537,A61K45/06,1,1,,,,,,,,,,,,,,,,,,,,
627,"Schoell v. Regal Marine Industries, Inc.",247 F.3d 1202,58 U.S.P.Q.2d 1450,17/4/2001,1,1,,5456202,B63B1/20,0,0,,,,,,,,,,,,,,,,,,,,,,,,
628,"Telemac Cellular Corp. v. Topp Telecom, Inc.",247 F.3d 1316,58 U.S.P.Q.2d 1545,25/4/2001,1,1,,5577100,H04W4/24,0,0,,,,,,,,,,,,,,,,,,,,,,,,
629,"Electro Scientific Industries, Inc. v. General Scanning Inc.",247 F.3d 1341,58 U.S.P.Q.2d 1498,18/4/2001,1,1,,5265114,B23K26/06,0,0,5473624,B23K26/06,0,0,,,,,,,,,,,,,,,,,,,,
630,"Medtronic, Inc. v. Advanced Cardiovascular Systems, Inc.",248 F.3d 1303,58 U.S.P.Q.2d 1607,20/4/2001,1,1,,5653727,A61F2/88,0,0,,,,,,,,,,,,,,,,,,,,,,,,
633,Data Encryption Corp. v. Microsoft Corp.,248 Fed.Appx. 166,2007 WL 2574743,6/9/2007,1,1,,5584023,G06F21/6218,0,0,,,,,,,,,,,,,,,,,,,,,,,,
634,"Toshiba Corp. v. Juniper Networks, Inc.",248 Fed.Appx. 170,2007 WL 2574744,6/9/2007,1,4,,5835710,H04L12/4608,0,0,6343322,H04L12/4608,0,0,6598080,H04L12/4608,0,0,6341127,H04Q11/04,0,0,,,,,,,,,,,,
635,"Lockheed Martin Corp. v. Space Systems/Loral, Inc.",249 F.3d 1314,58 U.S.P.Q.2d 1671,30/4/2001,1,1,,4084772,B64G1/28,1,0,,,,,,,,,,,,,,,,,,,,,,,,
636,"Biotec Biologische Naturverpackungen GmbH & Co. KG v. Biocorp, Inc.",249 F.3d 1341,184 A.L.R. Fed. 669,14/5/2001,1,2,,5362777,C08J5/00,0,0,5280055,C08L1/10,0,0,,,,,,,,,,,,,,,,,,,,
637,"Maurice Mitchell Innovations, L.P. v. Intel Corp.",249 Fed.Appx. 184,2007 WL 2777968,24/9/2007,1,1,,4875154,G06F15/173,0,0,,,,,,,,,,,,,,,,,,,,,,,,
638,Eon-Net LP v. Flagstar Bancorp,249 Fed.Appx. 189,2007 WL 2818634,27/9/2007,1,1,,6683697,G06V10/22,0,0,,,,,,,,,,,,,,,,,,,,,,,,
640,"Kudlacek v. DBC, INC.",25 Fed.Appx. 837,2001 WL 1646654,21/12/2001,1,1,,5611325,F41B5/1426,0,0,,,,,,,,,,,,,,,,,,,,,,,,
641,"Hemphill v. McNeil-PPC, Inc.",25 Fed.Appx. 915,2001 WL 1504561,27/11/2001,1,1,,4557720,A61M31/007,0,0,,,,,,,,,,,,,,,,,,,,,,,,
642,"Budde v. Harley-Davidson, Inc.",250 F.3d 1369,58 U.S.P.Q.2d 1801,24/5/2001,1,1,,4955348,F02M35/10308,1,1,,,,,,,,,,,,,,,,,,,,,,,,
643,"Herstein v. Comptek Federal Systems, Inc.",250 F.3d 754,2000 WL 642500,18/5/2000,1,1,,4810981,H01P1/047,0,0,,,,,,,,,,,,,,,,,,,,,,,,
644,"Ta Instruments, Inc. v. Perkin-Elmer Corp.",250 F.3d 756,2000 WL 717094,1/6/2000,1,1,,4246641,G01K15/00,1,1,,,,,,,,,,,,,,,,,,,,,,,,
645,"Arthur S. Koenig and MDI Labs, Inc. v. Fugro-McClelland (Southwest), Inc.,",250 F.3d 756,2000 WL 723826,2/6/2000,1,1,,5076392,E21B25/00,0,0,,,,,,,,,,,,,,,,,,,,,,,,
648,"American Imaging Services, Inc. v. Intergraph Corp.",250 F.3d 757,2000 WL 772725,12/6/2000,1,1,,5353393,G06T11/00,0,0,,,,,,,,,,,,,,,,,,,,,,,,
649,"Magnivision, Inc. v. Bonneau Co.",250 F.3d 758,2000 WL 772323,15/6/2000,1,1,,5144345,B65D73/0064,1,1,,,,,,,,,,,,,,,,,,,,,,,,
650,"Microchip Tech., Inc. v. Scenix Semiconductor, Inc.",250 F.3d 759,2000 WL 945308,16/6/2000,1,1,,5606511,H02H3/247,0,0,,,,,,,,,,,,,,,,,,,,,,,,
651,"C.R. Bard, Inc. v. Medtronic, Inc.",250 F.3d 760,2000 WL 868581,29/6/2000,1,1,,5484474,A61M1/3627,1,1,,,,,,,,,,,,,,,,,,,,,,,,
652,"C.R. Bard, Inc. v. Boston Scientific Corp.",250 F.3d 761,2000 WL 915241,7/7/2000,1,1,,5087246,A61M25/1038,0,0,,,,,,,,,,,,,,,,,,,,,,,,
653,"General Surgical Innovations, Inc. v. Origin Medsystems, Inc.",250 F.3d 761,2000 WL 959507,10/7/2000,1,1,,5514153,A61M29/02,0,0,,,,,,,,,,,,,,,,,,,,,,,,
666,"Vermeer Manufacturing Co. v. Charles Machine Works, Inc.",251 F.3d 168,2000 WL 1742531,27/11/2000,1,1,,5556253,B65G59/062,1,1,,,,,,,,,,,,,,,,,,,,,,,,
671,"Acromed Corp. v. Sofamor Danek Group, Inc.",253 F.3d 1371,59 U.S.P.Q.2d 1130,8/6/2001,1,2,,4696290,A61B17/686,0,0,4854311,A61B17/7058,0,0,,,,,,,,,,,,,,,,,,,,
679,"Gart v. Logitech, Inc.",254 F.3d 1334,59 U.S.P.Q.2d 1290,26/6/2001,1,1,,4862165,G06F3/03543,1,1,,,,,,,,,,,,,,,,,,,,,,,,
687,Durel Corp. v. Osram Sylvania Inc.,256 F.3d 1298,59 U.S.P.Q.2d 1238,27/6/2001,1,3,,5418062,C23C16/442,1,1,5439705,C23C16/442,1,1,5156885,C23C16/442,1,1,,,,,,,,,,,,,,,,
689,"Interactive Gift Exp., Inc. v. Compuserve Inc.",256 F.3d 1323,59 U.S.P.Q.2d 1401,13/7/2001,1,1,,4528643,G11B27/031,1,1,,,,,,,,,,,,,,,,,,,,,,,,
691,"Tegal Corp. v. Tokyo Electron America, Inc.",257 F.3d 1331,59 U.S.P.Q.2d 1385,16/7/2001,1,1,,4464223,H01J37/32082,1,0,,,,,,,,,,,,,,,,,,,,,,,,
692,"Dow Chemical Co. v. Sumitomo Chemical Co., Ltd.",257 F.3d 1364,59 U.S.P.Q.2d 1609,25/7/2001,1,1,,4499255,C08G59/10,1,1,,,,,,,,,,,,,,,,,,,,,,,,
705,"Dayco Products, Inc. v. Total Containment, Inc.",258 F.3d 1317,59 U.S.P.Q.2d 1489,20/7/2001,1,5,,5129686,F16L33/213,0,0,5199752,F16L25/0036,1,1,5297822,F16L25/0036,1,1,5380050,F16L25/0036,1,1,5486023,F16L25/0036,1,1,,,,,,,,
707,"Pannu v. Storz Instruments, Inc.",258 F.3d 1366,59 U.S.P.Q.2d 1597,25/7/2001,1,1,,RE32525,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
711,"Wleklinski v. Targus, Inc.",258 Fed.Appx. 325,2007 WL 4460620,19/12/2007,1,1,,4976388,A45C13/30,0,0,,,,,,,,,,,,,,,,,,,,,,,,
712,"MSM Investments Co., LLC v. Carolwood Corp.",259 F.3d 1335,59 U.S.P.Q.2d 1856,9/8/2001,1,1,,5071878,A61K31/17,0,0,,,,,,,,,,,,,,,,,,,,,,,,
714,Pall Corp. v. PTI Technologies Inc.,259 F.3d 1383,59 U.S.P.Q.2d 1763,7/8/2001,1,2,,4663041,B01D63/067,0,0,4609465,B01D63/067,1,1,,,,,,,,,,,,,,,,,,,,
719,PACTIV Corp.,26 Fed.Appx. 943,2002 WL 21944,4/1/2002,1,1,,5007143,B65D33/2541,0,0,,,,,,,,,,,,,,,,,,,,,,,,
720,"Saeilo Inc. v. Colt's Mfg. Co., Inc.",26 Fed.Appx. 966,2002 WL 59674,16/1/2002,1,1,,5415075,F41A19/35,0,0,,,,,,,,,,,,,,,,,,,,,,,,
721,Innovad Inc. v. Microsoft Corp.,260 F.3d 1326,59 U.S.P.Q.2d 1676,6/8/2001,1,1,,4882750,H04M1/275,1,0,,,,,,,,,,,,,,,,,,,,,,,,
722,"Day Intern., Inc. v. Reeves Brothers, Inc.",260 F.3d 1343,59 U.S.P.Q.2d 1790,9/8/2001,1,1,,4770928,B32B3/12,0,0,,,,,,,,,,,,,,,,,,,,,,,,
724,"Hyperphrase Technologies, LLC v. Google, Inc.",260 Fed.Appx. 274,87 U.S.P.Q.2d 1285,26/12/2007,1,2,,5903889,G06F40/12,1,1,6526321,A61N1/0565,1,1,,,,,,,,,,,,,,,,,,,,
725,"Black & Decker, Inc. v. Robert Bosch Tool Corp.",260 Fed.Appx. 284,2008 WL 60501,7/1/2008,1,1,,6788925,H04B1/06,1,1,,,,,,,,,,,,,,,,,,,,,,,,
730,"Outside Box Innovations, LLC v. Travel Caddy, Inc.",260 Fed.Appx. 316,2008 WL 145247,15/1/2008,1,1,Judge Dyk dissents regarding claim construction,6991104,A45C13/04,0,0,,,,,,,,,,,,,,,,,,,,,,,,
731,Viskase Corp. v. American Nat. Can Co.,261 F.3d 1316,59 U.S.P.Q.2d 1823,31/7/2001,1,4,,4863769,B32B27/08,1,0,4976898,B32B27/08,1,0,5059481,B32B27/08,1,1,5256351,B32B27/08,1,1,,,,,,,,,,,,
732,"Advanced Cardiovascular Systems, Inc. v. Scimed Life Systems, Inc.",261 F.3d 1329,59 U.S.P.Q.2d 1801,6/8/2001,1,5,,5421955,A61F2/86,1,1,5514154,A61F2/86,1,1,5603721,A61F2/86,1,1,5728158,A61F2/86,1,1,,,,,,,,,,,,
734,"Bell Atlantic Network Services, Inc. v. Covad Communications Group, Inc.",262 F.3d 1258,59 U.S.P.Q.2d 1865,17/8/2001,1,1,,5812786,H04M11/062,0,0,,,,,,,,,,,,,,,,,,,,,,,,
735,"Glaxo Group Ltd. v. Ranbaxy Pharmaceuticals, Inc.",262 F.3d 1333,59 U.S.P.Q.2d 1950,20/8/2001,1,1,,4562181,C07D501/34,1,1,,,,,,,,,,,,,,,,,,,,,,,,
736,"McGinley v. Franklin Sports, Inc.",262 F.3d 1339,60 U.S.P.Q.2d 1001,21/8/2001,1,1,,5407193,A63B43/00,0,0,,,,,,,,,,,,,,,,,,,,,,,,
740,Generation II Orthotics Inc. v. Medical Technology Inc.,263 F.3d 1356,59 U.S.P.Q.2d 1919,15/8/2001,1,2,,5400806,A61F5/0123,1,1,5302169,A61F5/0123,1,1,,,,,,,,,,,,,,,,,,,,
741,"Canon, Inc. v. GCC Intern. Ltd.",263 Fed.Appx. 57,2008 WL 213883,25/1/2008,1,1,"The claim construction was part of the reasoning behind the preliminary injunction, but there was no error found that would reverse or remand the case.",6336018,G03G21/186,1,0,,,,,,,,,,,,,,,,,,,,,,,,
742,"Emergis Technologies, Inc. v. PNM Resources",263 Fed.Appx. 63,2008 WL 249336,31/1/2008,1,1,,6044362,G06Q20/0425,1,1,,,,,,,,,,,,,,,,,,,,,,,,
753,"Surfco Hawaii v. Fin Control Systems Pty, Ltd.",264 F.3d 1062,60 U.S.P.Q.2d 1056,5/9/2001,1,3,,5328397,B63B32/66,1,1,5464359,B63B32/66,1,1,5672081,B63B32/66,1,1,,,,,,,,,,,,,,,,
754,TurboCare Div. of Demag Delaval Turbomachinery Corp. v. General Elec. Co.,264 F.3d 1111,60 U.S.P.Q.2d 1017,29/8/2001,1,1,,4436311,F01D11/025,1,1,,,,,,,,,,,,,,,,,,,,,,,,
755,"Kustom Signals, Inc. v. Applied Concepts, Inc.",264 F.3d 1326,60 U.S.P.Q.2d 1135,5/9/2001,1,1,Judge Mayer dissents regarding claim construction,5528246,G01S7/415,0,0,,,,,,,,,,,,,,,,,,,,,,,,
756,"Sandt Technology, Ltd. v. Resco Metal and Plastics Corp.",264 F.3d 1344,60 U.S.P.Q.2d 1091,6/9/2001,1,1,,5509057,H04M1/18,0,0,,,,,,,,,,,,,,,,,,,,,,,,
757,"Ecolab, Inc. v. Envirochem, Inc.",264 F.3d 1358,60 U.S.P.Q.2d 1173,6/9/2001,1,1,,RE32818,,1,1,,,,,,,,,,,,,,,,,,,,,,,,
758,"Kopykake Enterprises, Inc. v. Lucks Co.",264 F.3d 1377,60 U.S.P.Q.2d 1124,10/9/2001,1,1,,5017394,A23G3/28,0,0,,,,,,,,,,,,,,,,,,,,,,,,
762,"Advanced Cardiovascular Systems, Inc. v. Medtronic, Inc.",265 F.3d 1294,60 U.S.P.Q.2d 1161,10/9/2001,1,1,,5451233,A61B18/245,0,0,,,,,,,,,,,,,,,,,,,,,,,,
763,"Fin Control Sytems Pty, Ltd. v. OAM, Inc.",265 F.3d 1311,60 U.S.P.Q.2d 1203,12/9/2001,1,1,,5464359,B63B32/66,0,0,,,,,,,,,,,,,,,,,,,,,,,,
764,Hilgraeve Corp. v. Symantec Corp.,265 F.3d 1336,60 U.S.P.Q.2d 1291,17/9/2001,1,1,,5319776,H04L63/145,0,0,,,,,,,,,,,,,,,,,,,,,,,,
765,Brown v. 3M,265 F.3d 1349,60 U.S.P.Q.2d 1375,18/9/2001,1,1,Judge Mayer dissents regarding claim construction,5852824,G06F8/78,0,0,,,,,,,,,,,,,,,,,,,,,,,,
769,"Nazomi Communications, Inc. v. ARM Holdings, PLC",266 Fed.Appx. 935,2008 WL 482580,21/2/2008,1,1,,6332215,G06F9/30174,0,0,,,,,,,,,,,,,,,,,,,,,,,,
770,"Aristocrat Technologies Australia Pty Ltd. v. Multimedia Games, Inc.",266 Fed.Appx. 942,2008 WL 484449,22/2/2008,1,1,,4817951,G07F17/3244,1,1,,,,,,,,,,,,,,,,,,,,,,,,
772,Xerox Corp. v. 3Com Corp.,267 F.3d 1361,60 U.S.P.Q.2d 1526,5/10/2001,1,1,,5596656,G06F3/04883,0,0,,,,,,,,,,,,,,,,,,,,,,,,
778,Ballard Medical Products v. Allegiance Healthcare Corp.,268 F.3d 1352,60 U.S.P.Q.2d 1493,9/10/2001,1,2,,4569344,A61M16/0463,0,0,4696296,A61M16/0463,0,0,,,,,,,,,,,,,,,,,,,,
779,"Asyst Technologies, Inc. v. Empak, Inc.",268 F.3d 1364,60 U.S.P.Q.2d 1567,10/10/2001,1,1,,5097421,H01L21/67294,1,1,,,,,,,,,,,,,,,,,,,,,,,,
780,"J & M Corp. v. Harley-Davidson, Inc.",269 F.3d 1360,60 U.S.P.Q.2d 1746,2/11/2001,1,1,,RE34525,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
784,Superior Fireplace Co. v. Majestic Products Co.,270 F.3d 1358,60 U.S.P.Q.2d 1668,1/11/2001,1,1,,5678534,F24B1/1808,0,0,,,,,,,,,,,,,,,,,,,,,,,,
789,Intermatic Inc. v. Lamson & Sessions Co.,273 F.3d 1355,61 U.S.P.Q.2d 1075,17/12/2001,1,1,,5280135,H02G3/14,1,1,,,,,,,,,,,,,,,,,,,,,,,,
793,Luma Corp. v. Stryker Corp.,273 Fed.Appx. 948,2008 WL 1013484,10/4/2008,1,1,,5740801,G06T7/20,0,0,,,,,,,,,,,,,,,,,,,,,,,,
795,Rexnord Corp. v. Laitram Corp.,274 F.3d 1336,60 U.S.P.Q.2d 1851,15/11/2001,1,1,,5634550,B65G17/08,1,1,,,,,,,,,,,,,,,,,,,,,,,,
806,Helena Laboratories Corp. v. Alpha Scientific Corp.,274 Fed.Appx. 900,2008 WL 1743857,16/4/2008,1,1,,5344666,B01L3/0293,0,0,,,,,,,,,,,,,,,,,,,,,,,,
809,"LNP Engineering Plastics, Inc. v. Miller Waste Mills, Inc.",275 F.3d 1347,61 U.S.P.Q.2d 1193,21/12/2001,1,2,,5019450,B29C45/0005,0,0,5213889,B29C70/521,0,0,,,,,,,,,,,,,,,,,,,,
811,Talbert Fuel Systems Patents Co. v. Unocal Corp.,275 F.3d 1371,61 U.S.P.Q.2d 1363,8/1/2002,1,1,,5015356,C10L1/023,0,0,,,,,,,,,,,,,,,,,,,,,,,,
815,"Smith & Nephew, Inc. v. Ethicon, Inc.",276 F.3d 1304,61 U.S.P.Q.2d 1065,12/12/2001,1,1,Judge Michael held a dissenting opinion with respect to claim construction.,5601557,A61F2/0811,1,1,,,,,,,,,,,,,,,,,,,,,,,,
816,"Rheox, Inc. v. Entact, Inc.",276 F.3d 1319,61 U.S.P.Q.2d 1368,8/1/2002,1,1,,5162600,A62D3/33,0,0,,,,,,,,,,,,,,,,,,,,,,,,
822,"Traffix Devices, Inc. v. Lakeside Plastics, Inc.",276 Fed.Appx. 972,2008 WL 1930722,14/4/2008,1,1,,5749673,E01F9/70,1,0,,,,,,,,,,,,,,,,,,,,,,,,
825,General Atomics Diazyme Laboratories Div. v. Axis-Shield ASA,277 Fed.Appx. 1001,2008 WL 2019490,12/5/2008,1,2,,5631127,C07H15/14,0,0,5958717,C07H15/14,0,0,,,,,,,,,,,,,,,,,,,,
830,"Vulcan Engineering Co., Inc. v. Fata Aluminium, Inc.",278 F.3d 1366,61 U.S.P.Q.2d 1545,5/2/2002,1,1,,4736787,B22D47/02,0,0,,,,,,,,,,,,,,,,,,,,,,,,
831,"Genlyte Thomas Group, LLC v. Arch Lighting Group, Inc.",278 Fed.Appx. 1004,2008 WL 2062248,14/5/2008,1,1,,5038254,F21S2/005,0,0,,,,,,,,,,,,,,,,,,,,,,,,
833,"Rattler Tools, Inc. v. Bilco Tools, Inc.",278 Fed.Appx. 1013,2008 WL 2165726,22/5/2008,1,5,,6216787,E21B37/00,0,0,6308781,E21B37/00,0,0,6354386,E21B37/00,0,0,6357539,E21B37/00,0,0,6491117,E21B37/00,0,0,,,,,,,,
834,"Epcon Gas Systems, Inc. v. Bauer Compressors, Inc.",279 F.3d 1022,61 U.S.P.Q.2d 1470,1/2/2002,1,1,,5118455,B29C45/1732,1,1,,,,,,,,,,,,,,,,,,,,,,,,
835,Bayer AG. v. Biovail Corp.,279 F.3d 1340,61 U.S.P.Q.2d 1675,7/2/2002,1,1,DC failed to construct,5264446,C07D211/90,1,1,,,,,,,,,,,,,,,,,,,,,,,,
836,"Tate Access Floors, Inc. v. Interface Architectural Resources, Inc.",279 F.3d 1357,61 U.S.P.Q.2d 1647,7/2/2002,1,1,,4625491,E04F15/02423,0,0,,,,,,,,,,,,,,,,,,,,,,,,
837,"Dana Corp. v. American Axle & Manufacturing, Inc.",279 F.3d 1372,61 U.S.P.Q.2d 1609,12/2/2002,1,2,,5643093,F16C3/02,1,1,5637042,F16C3/023,1,1,,,,,,,,,,,,,,,,,,,,
839,"LSI Industries, Inc. v. ImagePoint, Inc.",279 Fed.Appx. 964,2008 WL 2165340,22/5/2008,1,6,,5682694,G09F13/0413,1,1,5983543,G09F13/0413,1,1,6125565,G09F13/0413,1,1,6298589,G09F13/0413,1,1,6631576,G09F13/0413,1,1,6843011,G09F13/0413,1,1,,,,
840,"TALtech Ltd. v. Esquel Apparel, Inc.",279 Fed.Appx. 974,2008 WL 2165996,22/5/2008,1,1,,5568779,A41D27/10,0,0,,,,,,,,,,,,,,,,,,,,,,,,
842,"Southwestern Bell Telephone Co. v. Arthur A. Collins, Inc.",279 Fed.Appx. 989,2008 WL 2186018,27/5/2008,1,1,,4797589,H04Q11/06,0,0,,,,,,,,,,,,,,,,,,,,,,,,
843,"Smith Engineering Co., Inc. v. Eisenmann Corp.",28 Fed.Appx. 958,2002 WL 70440,17/1/2002,1,1,,4280416,F23G7/068,0,0,,,,,,,,,,,,,,,,,,,,,,,,
857,In re Omeprazole Patent Litigation,281 Fed.Appx. 974,2008 WL 2369864,10/6/2008,1,2,,4786505,A61K31/44,0,0,4853230,A61K31/415,0,0,,,,,,,,,,,,,,,,,,,,
864,"Realsource, Inc. v. Best Buy Co.",282 Fed.Appx. 821,2008 WL 2510603,23/6/2008,1,1,,5732136,G07F7/025,0,0,,,,,,,,,,,,,,,,,,,,,,,,
